Rank,TRACT_ID
1,118900
2,113500
15,118602
4,119401
5,113801
6,109801
3,108301
12,112500
8,108400
31,183401
11,112600
9,196500
32,183402
7,111500
17,119100
35,103900
24,113600
13,112800
14,104400
37,106400
20,118700
41,103800
23,121800
30,119900
49,108701
10,102800
34,183502
51,183606
40,103500
61,137103
27,110501
48,109301
18,119600
39,106800
29,118800
38,104600
22,118301
19,102700
43,119402
47,112400
52,137102
26,114100
21,120200
28,141100
54,123603
45,112200
62,120500
128,123100
33,104200
25,119202
50,122100
53,111700
16,114501
60,107701
36,115100
112,123502
57,107802
56,111600
42,119502
44,119501
58,108201
64,114700
85,119300
76,124100
68,104300
79,120702
63,115900
65,114300
78,120600
83,111800
93,118101
99,103400
46,113101
67,111902
55,112100
102,102101
86,121100
74,102102
134,161200
70,171104
106,123900
121,121500
87,116600
94,102900
84,127501
71,151700
59,161300
75,150100
91,105900
73,103602
69,103100
96,104100
92,151500
66,119701
88,980100
129,161100
82,112301
81,114600
72,151600
120,121200
89,151800
125,115400
122,120400
139,131103
98,154100
156,161500
90,141300
105,102200
130,123200
111,121900
97,111202
77,107101
143,124201
95,141200
119,101901
110,116900
80,151200
100,103300
118,106300
138,181203
117,105300
152,161400
116,188103
124,120801
113,105100
115,115300
114,110801
126,183603
132,124300
123,118500
154,116500
163,177403
159,137101
158,109701
131,120802
127,101800
167,117800
137,104900
109,140301
151,154400
135,184106
107,151100
146,106200
141,183100
104,150400
147,102300
103,150300
165,105700
196,188104
142,154300
145,106100
153,118400
108,151400
174,133103
133,121401
149,183604
101,119702
161,115700
189,106600
144,102401
193,153105
186,123601
180,140100
162,183501
148,117900
157,116800
140,152701
176,196400
172,185203
175,154200
203,193800
188,117300
217,181204
164,140500
187,106500
179,105602
219,161000
136,114900
170,177201
168,141400
191,124600
218,131102
232,153104
173,177104
150,120701
183,140701
230,188107
184,140400
270,190504
266,187106
177,101700
182,123501
195,151300
169,183200
199,141000
160,104800
181,154601
166,141500
229,185102
178,187105
194,171103
185,185202
190,126100
214,116300
290,160800
202,140302
245,130104
249,174204
200,140600
224,171102
237,160700
233,188106
208,161800
192,124202
212,119800
211,121700
197,105500
210,122200
198,185101
241,177406
171,152702
242,160900
247,156102
231,170101
155,118200
255,117700
216,115200
273,160500
268,154603
246,131104
207,101501
258,101200
205,101603
213,116400
281,181100
236,185104
285,153107
244,181201
221,177103
243,106900
220,183605
204,196000
274,171205
287,195900
206,102402
267,154501
254,117600
235,177202
257,154700
215,117400
262,140702
227,124500
201,101101
209,121403
238,152703
261,115800
286,183300
259,132301
228,105400
269,152502
272,117202
240,177304
226,177101
284,188105
275,138109
222,122300
265,141700
300,160200
223,117500
278,116700
276,101300
271,152501
248,196100
251,177303
330,135103
256,132100
225,161700
263,110901
289,187104
294,123400
317,193900
292,155102
250,185103
252,141601
264,140900
299,160400
234,121300
260,152603
253,177405
308,171204
279,116200
338,189112
288,187103
295,170201
291,171203
280,117102
301,178205
344,174103
277,116100
355,160100
334,130105
356,186205
283,101102
239,111401
303,178206
353,177504
293,152604
328,194900
342,174105
331,176100
332,182105
310,185201
351,173103
305,140800
316,123602
311,123800
346,174205
307,141602
320,154604
296,138108
313,177501
282,161600
401,177505
345,174207
350,170202
337,189107
297,138110
309,160602
354,171206
325,194800
343,190503
335,192300
321,178101
347,172103
360,178204
324,184108
327,196200
323,184105
336,156101
340,172101
298,170102
304,177404
302,101400
378,172102
394,138106
352,160300
329,192900
359,189111
322,178102
349,174106
380,184103
368,154502
358,189108
341,189110
312,152102
315,160601
348,174206
326,174104
390,182106
364,177302
381,136103
386,175105
306,107000
384,186103
376,133104
388,130103
395,173106
382,186201
415,134300
371,152302
402,177606
357,177503
319,152101
333,179101
377,184104
318,180102
416,134206
387,172201
369,152202
379,182104
339,189105
362,132200
399,173104
314,152400
361,189109
365,117201
370,152303
393,175104
366,180103
385,186106
400,981100
403,177608
374,117101
396,135104
398,194300
418,177604
404,174203
397,175103
419,186206
363,192800
367,132302
392,153106
410,195800
373,152201
406,173107
389,190502
414,172202
412,186104
413,179102
421,135105
409,182103
411,196300
417,175106
372,138107
423,194500
383,176200
408,130106
425,134205
426,134204
437,134100
375,178201
431,177609
433,177607
391,123700
432,136101
422,155101
436,186202
428,195600
430,980500
427,173105
429,134203
435,195700
405,152301
439,177605
441,138105
438,175202
407,153103
424,174107
420,180104
434,186107
440,175201
443,186105
444,136102
442,194100
445,135106
446,186203
